anthropic_vote,available,case_id,counts,delta_consequence_alignment_score,delta_directness_score,delta_editorial_power_score,delta_mechanism_alignment_score,delta_overall_suitability_score,delta_principle_alignment_score,delta_relevance_score,delta_specificity_score,disagreement_band,estimated_input_tokens,gemini_vote,grok_vote,human_decision,image_basename,image_fingerprint_hash,majority_modal_relationship,majority_relationships,meta_decision,meta_deferred,normalised_input_hash,openai_vote,original_case_id,outlier_provider,outlier_relationship,outlier_secondary,outlier_vote,pattern,pre_score,quote_fingerprint_hash,quote_hash,selection_reason,signals,source_subset
replace,4,55f5cd6d633c143f5170,"{""keep"": 1, ""replace"": 3}",25.0,42.0,45.0,38.0,50.0,43.0,37.0,50.0,moderate,2344,keep,replace,replace,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,0c21ff4e58aadab42b22be18b75af462f76ad79691d240e7dec47f1ba7707c60,illustrates_claimed_consequence,"{""illustrates_broader_principle"": 1, ""illustrates_claimed_consequence"": 2}",unsure,True,688685bada7ca32b31a5354e15f94fc28a45af70c3c151d729fc7eaa0c270bd6,replace,55f5cd6d633c143f5170,gemini,illustrates_broader_principle,related_ideological_substitution,keep,3_replace_1_keep,,e079502ecf42a690ac247fe14e887f8eb8a59182ffd3060e733941d1d7a9ef0e,1ae9443573e42259af54c30a0ec90a6a8746e640b09e53ae1c28a4c0a2d0ed6b,original_25_regression,,fixed_regression
replace,4,e64eaa98b9e825be7e66,"{""keep"": 1, ""replace"": 3}",37.0,35.0,20.0,18.0,29.0,35.0,17.0,2.0,moderate,1896,keep,replace,keep,tg_2b351e489fc2b20f68c7f7867b3b17fb1636bb3ed2e7b6593e3345e10b09d5a2.png,7c4ab92e9f949316769135f2c9f6f1bae723b7e7aabeb1667000a05030378392,related_ideological_substitution,"{""illustrates_broader_principle"": 1, ""related_ideological_substitution"": 2}",replace,False,45a8dfa8fdca345830ea8360101d17cbf400378d278dcd8c2dcddc617010ca6f,replace,e64eaa98b9e825be7e66,gemini,illustrates_broader_principle,related_ideological_substitution,keep,3_replace_1_keep,,f719412f5971e51160b56336b137d1aca28c484c76c4411f1ce5057c18ca6a7a,15bd818b86c205c6364eac5614bdda8a9daa968bc6336d9605cf05dacc6a7712,original_25_regression,,fixed_regression
replace,4,6eb60852343c65542ab6,"{""keep"": 1, ""replace"": 3}",20.0,25.0,10.0,10.0,30.0,22.0,23.0,32.0,moderate,2070,keep,replace,keep,tg_7d67f551934f28edeff341b70ccfce5f65234b2e73ec99a1b60bd0dda30606b4.png,d7c78150d849872fff6c12b5f5eee9a26457631110a4fe4ccf7a768b24265b62,related_ideological_substitution,"{""related_ideological_substitution"": 3}",unsure,True,6069937a0f99df6b29bd786f5725e2a9e285ec6e7fc17cec61e4a4ae099dc529,replace,6eb60852343c65542ab6,gemini,related_ideological_substitution,secondary_theme_match,keep,3_replace_1_keep,,782c8da7e0844065d630ff81b96bc7784fed12679e9fc41e60ec2da3d9b9ce80,e1d78bc63369145f6cf7462d8ad5f15dceef929c0469aff64d3bde1e7a188f18,original_25_regression,,fixed_regression
keep,4,e05e08ebeb6230dec78c,"{""keep"": 3, ""replace"": 1}",-12.0,-28.0,-10.0,-12.0,-22.0,-14.0,-17.0,-17.0,moderate,1866,keep,replace,keep,tg_9fd092ecc3b3693cecc5058d3c41366a83c3bc4459e8efd8762d37b1ad67ce21.png,50427904c366eeec016cd33a6f90119edf364920cb452176c184adfe51b50e6b,illustrates_mechanism,"{""illustrates_claimed_consequence"": 1, ""illustrates_mechanism"": 2}",keep,False,74939267c5f2bc350dca603e7bd9d5b950d5e290f7983e1468bd56fe4551c2b8,keep,e05e08ebeb6230dec78c,grok,illustrates_mechanism,illustrates_claimed_consequence,replace,3_keep_1_replace,,6ab488a73329f2623cc798f77067c43bc34b4d4b2622278fbdf6eeddcc131274,f132ff5d665aea62ccdcef9f6e14da4da22ecbca330d8dfe3175b93b47c28161,original_25_regression,,fixed_regression
replace,4,11f5347c5573e7bf13ff,"{""keep"": 1, ""replace"": 3}",42.0,55.0,40.0,55.0,42.0,23.0,28.0,50.0,moderate,1975,keep,replace,keep,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,7179dbd774101861491197510f812511776d453e9c79f07ff80ff654fc526545,related_ideological_substitution,"{""related_ideological_substitution"": 3}",replace,False,548f64a4e53072774006a61a01028af01b0d737f4d8ac276d19fc05dcde6e37b,replace,,gemini,direct_illustration,illustrates_broader_principle,keep,3_replace_1_keep,,f670c6adfc41930a688c23ac63bed2d6810fdd39bdbad084ffb2b68beb0e94f8,c5d53bc0acdfd5d99f34fcaa9963cf742d3f2c67a49fe49259cb3afb17e41956,canonical_editorial_winner,,canonical_or_production_validation
replace,4,f69bcc250b4db9ff9da1,"{""keep"": 1, ""replace"": 3}",33.0,30.0,20.0,10.0,33.0,20.0,13.0,35.0,moderate,2234,keep,replace,keep,tg_91fc151a519c51105a185875ff1897d00796c29279de667c0fa047fbdfb8a31f.png,fa203466fab1165c464c9f33394feee383c382ceaf653861c066d6489d9f82e5,related_ideological_substitution,"{""illustrates_broader_principle"": 1, ""related_ideological_substitution"": 2}",replace,False,ffe2f13921137d10e8708bd18b68fa345444d071a83f516a3afba284d8d71d66,replace,,gemini,illustrates_broader_principle,related_ideological_substitution,keep,3_replace_1_keep,,4eae2fe0e11a2cc155829fc55a631f12a25c5aa64e665ce4e4d40036951ae121,fed6f26674cb44a80b2c25de69c3d0e560183571724d5a704ef7b664266ba667,canonical_editorial_winner,,canonical_or_production_validation
replace,4,ad4d6bef1aa22714ea65,"{""keep"": 1, ""replace"": 3}",32.0,22.0,20.0,15.0,30.0,25.0,23.0,11.0,moderate,2082,keep,replace,replace,tg_d17e9db4a42fefe4368a5a1495f01a08c4ddd4c43fda43605a7fdc9467454bfd.png,9eadf6c824dbeef2ec216009ba83772f5035a6b84a799392d671b4328fdb404f,unrelated,"{""illustrates_broader_principle"": 1, ""secondary_theme_match"": 1, ""unrelated"": 1}",replace,False,afd695f2e0affccaa31e2a380d4c88ed36cd3b01d2a0c2e5a6221f628fa23908,replace,,gemini,illustrates_broader_principle,secondary_theme_match,keep,3_replace_1_keep,,ec4e52974f79f2d6e3a1c6fdfa069e32fb7f03711d23d3b07a951c6eec0fddf0,1fd9dc8bc79b72ba11ce420cab2061aa9586117e10f8c38f6f60ab3c2a55b739,canonical_production_winner,,canonical_or_production_validation
replace,4,adb9e872893aed6b780a,"{""keep"": 1, ""replace"": 3}",6.0,35.0,25.0,30.0,26.0,37.0,17.0,10.0,moderate,1725,keep,replace,replace,tg_f132ff5d665aea62ccdcef9f6e14da4da22ecbca330d8dfe3175b93b47c28161.png,5ccc106dfddabd5554e7c714aa84272049c35992274cfe434ac8de5d35ace056,related_ideological_substitution,"{""illustrates_claimed_consequence"": 1, ""related_ideological_substitution"": 2}",replace,False,2ad67e9f3bc381d604b0d0fb31828779b4f0fb7b1881c3f6a85dd60f1055ba91,replace,,gemini,illustrates_broader_principle,related_ideological_substitution,keep,3_replace_1_keep,,a90c0b1053b2f723f9ee97721672d88b2bb0d598ae822ffd4bd29d5b5e6bac91,866738ba29cb509f048a2a1a8215e8f7e729c266e88d8fcaab482dd97ab8cd4a,canonical_editorial_winner,,canonical_or_production_validation
replace,4,2d50c332f50101ae629b,"{""keep"": 1, ""replace"": 3}",-1.0,21.0,25.0,-10.0,30.0,15.0,13.0,35.0,moderate,1998,keep,replace,keep,tg_a9426dce186893768be1d61ea3ca82d90d05667d085c5a3d217e3a08059eba5b.png,c1446180420e3c249d0e8f3fa9ff53ed3c39437d144841238ba95fb12a70197e,related_ideological_substitution,"{""illustrates_broader_principle"": 1, ""related_ideological_substitution"": 2}",replace,False,035288de3cf3d209e4cea744864b9b99dd7876abc64ca3750f9b252b49f997a5,replace,,gemini,illustrates_broader_principle,related_ideological_substitution,keep,3_replace_1_keep,,b6d23c8899d2a00414b3ebf28e1f23388c49de0963c2b5e1a5d9fb7b52ff2593,1993fc02d1ec12c56b6b181dcb12f2c2145b3a373861a365088fe2b1137a9192,canonical_identity_winner,,canonical_or_production_validation
replace,4,84808fa8739e7f217f1e,"{""keep"": 1, ""replace"": 3}",15.0,32.0,32.0,25.0,36.0,20.0,27.0,38.0,moderate,2071,keep,replace,keep,tg_fbaf32a54650f629731270135c319348343a6c08189e71f22ccb74b1a1d89521.png,14a3775d2dafe3e60d864e68ba39c824b9b591e4162828e9d0a5f5afa2c9b3e3,related_ideological_substitution,"{""related_ideological_substitution"": 3}",replace,False,0de8a91a9ebd00aafda97e010bf0325e9dd581b602cafe16edae6d2e78894362,replace,,gemini,illustrates_broader_principle,related_ideological_substitution,keep,3_replace_1_keep,,4e74b888bd955410a7bf806c28730d2afac16297df95b86b51d4104de6320040,d5371da309d337df802d77431c030251c5fa2c0d453c7e3cc683895f9438875c,canonical_editorial_winner,,canonical_or_production_validation
