case_id,quote_hash,human_choice,human_outcome,preference_strength,reasons,current_position,current_winner,challenger
38dab10d66214a8f33ef,08be01c1fe5fc197294f854d99c293c1d85039b4a0576a9f50db5943d9071560,B,current,slight,acceptable_symbolism|better_visual_impact,B,tg_f898abc6e133d50485c751bc2f30ca71ab4c34f3f1000b29c9142a2d518e086d.png,tg_7d6ced255a74d563b6ba9811429970c51f605647aac25819e14104f836d93434.png
dbbca3ff711dd4d9eba3,08be01c1fe5fc197294f854d99c293c1d85039b4a0576a9f50db5943d9071560,B,current,strong,acceptable_symbolism|better_first_impression|better_visual_impact,B,tg_f898abc6e133d50485c751bc2f30ca71ab4c34f3f1000b29c9142a2d518e086d.png,tg_90af9e1629ef38b0590076820045b36c3540189f849fc38d7cdbbbea4ae2c1b2.png
649b2360f0d35e006a3f,0acb6cd5c5ec0ed58b882f3f4077b6f65f04b100ebfde6ace075c1993736b51a,B,current,strong,better_first_impression|better_visual_impact,B,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png
5ed5302a6e333567d058,0ece322a106d6443bef89c14e769b28e8a19db61bbefa53c298cb206c2031ffa,A,current,moderate,better_first_impression|better_visual_impact,A,tg_c0db67b6bec353f4bb347372df011d499bd337d76513f4f5de4a223f3ff99247.png,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png
03ef27b13bd503905246,19b4b12f040bed61c1804b573327e36f4cc485636d799602a476e0b89fc8e8b1,A,current,strong,better_first_impression|better_semantic_fit|better_visual_impact,A,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,tg_6f70887295eff72d62a86e86c3983e7d960cafd35784e0f5d6a4d790558cf37b.png
871cef5a200df1b4c849,3ba6cfba4bbf0673ce1cf563fb9de4821aded8422c64cbcd4218bf8da951f24d,B,current,strong,better_first_impression|better_visual_impact,B,tg_59b18840cbf67ac4a14a64f3858e7fcee40dfb483db36ec5b911fc22592dffaa.png,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png
42f7c7f901e65773d1d9,3ba6cfba4bbf0673ce1cf563fb9de4821aded8422c64cbcd4218bf8da951f24d,B,current,strong,better_first_impression|better_semantic_fit|better_visual_impact,B,tg_59b18840cbf67ac4a14a64f3858e7fcee40dfb483db36ec5b911fc22592dffaa.png,tg_6ecc88f6e06f86515044a409421f059b2cf756001b9a6929a0183808a9b2e19e.png
b0605e236e6885411c16,8ee86fceccc2ab211e6b4f20764ba758d8b0278c1fcaa2f46c302f2d440c61b1,A,current,moderate,better_first_impression|better_tone|better_visual_impact,A,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png
ad499c5e87c4b1061c82,8ee86fceccc2ab211e6b4f20764ba758d8b0278c1fcaa2f46c302f2d440c61b1,A,current,strong,better_first_impression|better_tone|better_visual_impact,A,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png
f0858d5ba37a30559e98,8ee86fceccc2ab211e6b4f20764ba758d8b0278c1fcaa2f46c302f2d440c61b1,A,current,moderate,better_first_impression|better_visual_impact,A,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png,tg_a19e13783f2b7b47348d1e95ece8445a69b5bb21b8312628c2cea66ccc2563ac.png
f7919a292b295182ddf6,8ee86fceccc2ab211e6b4f20764ba758d8b0278c1fcaa2f46c302f2d440c61b1,A,current,strong,acceptable_symbolism|better_first_impression|better_semantic_fit|better_visual_impact,A,tg_fbaf32a54650f629731270135c319348343a6c08189e71f22ccb74b1a1d89521.png,tg_8d9fa1bf449aa2112a5e80faa2999485caf0d3d00dc7963cde47ef3387eec003.png
5fc09adb9e8c26fe6a4a,9e66d045369a9ef049c406343e8f49f0fdd664d39121e6e9bd118b967befa3cb,A,current,moderate,better_first_impression|better_tone,A,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png,tg_a19e13783f2b7b47348d1e95ece8445a69b5bb21b8312628c2cea66ccc2563ac.png
8bf11163cff70da7f79f,9e66d045369a9ef049c406343e8f49f0fdd664d39121e6e9bd118b967befa3cb,B,current,moderate,better_first_impression|better_visual_impact,B,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png
59c27f78aa7a327c3791,9e66d045369a9ef049c406343e8f49f0fdd664d39121e6e9bd118b967befa3cb,B,current,slight,better_semantic_fit|better_tone,B,tg_a19e13783f2b7b47348d1e95ece8445a69b5bb21b8312628c2cea66ccc2563ac.png,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png
