both_policies_same_alternative,editorial,identity,post_index,production,production_editorial_same,production_identity_same,quote_hash,quote_text,run_id
False,t37.jpg,t37.jpg,1,t37.jpg,True,True,fee24becc17ea4e5cba2bb45a1fd9e0868a64864667a11ba4a79c95e7053d919,"My friends, every generation has to fight anew the battle for liberty. In my generation, Nazism and then Communism were the enemy, and they very nearly prevailed. Then, as now, strong arms and stout hearts were called upon to sustain the struggle for truth and right.",run_0000
False,t55.jpg,t55.jpg,2,t55.jpg,True,True,7514859e06c16389eab799267fdd69dfa29ef15be82abf4127561661d176cd2b,It is one of the great weaknesses of reasonable men and women that they imagine that projects which fly in the face of commonsense are not serious or being seriously undertaken.,run_0000
False,tg_5fbdcee710fe7e18425f4eeefe811890b3c8a03803f78b23685ad11309840679.png,tg_5fbdcee710fe7e18425f4eeefe811890b3c8a03803f78b23685ad11309840679.png,3,tg_5fbdcee710fe7e18425f4eeefe811890b3c8a03803f78b23685ad11309840679.png,True,True,c9003765734e425db58b6c58a9045c093fa5abe71b8bb262ad3b620e753cf545,"Whether it is in the United States or in mainland Europe, written constitutions have one great weakness. That is that they contain the potential to have judges take decisions which should properly be made by democratically elected politicians.",run_0000
False,t66.jpg,t17.jpg,4,t17.jpg,False,True,f91e0364d491714d6ecea18b0e7443bc4b8ed600a6f3212df8f8c9e5f3bbad1d,People left Europe to get away from it and they went to America to become part of a very very great country.,run_0000
False,t56.jpg,t56.jpg,5,t56.jpg,True,True,6934c3253a9b77e82c91387bdb4afe242b58c05b21f5bb6ca2295b34419153fa,"Communism never sleeps, never changes its objectives, nor must we. Our first duty to freedom is to defend our own. Then one day we might export a little to those peoples who have to live without it.",run_0000
False,tg_ae1ce8a812279c8dd97b71cfcd5efc578ba06dea161ef2de4a2091205eba279e.png,tg_2a4c080a88934c20c64f8c8a793f2aa39fbc653108387d1af27dca8f885a9f14.png,6,tg_ae1ce8a812279c8dd97b71cfcd5efc578ba06dea161ef2de4a2091205eba279e.png,True,False,c0c20416dce3033550ca0fc32b1a21b5302986c4595379da090002c38f6aac57,We must match imagination with realism and not so lull people into a sense of euphoria that they come to question the very need for NATO.,run_0000
False,t54.jpg,t54.jpg,7,t54.jpg,True,True,696e819a33690f737c344d76d71131ec250fbbe4140c0f0d33ad19bb49fc3320,"Disciplining yourself to do what you know is right and important, although difficult, is the highroad to pride, self-esteem, and personal satisfaction.",run_0000
False,t46.jpg,t46.jpg,8,t46.jpg,True,True,bf999e4ea585f46ca8e838864a83c3c7151590ddd28614e2f0515da14be36835,"Europe has only been single under tyranny, not under liberty.",run_0000
False,tg_33eef87a7e4bd7c159bdb35f0378709b1c0324477b62d344e3b3ceec9e7f19a3.png,tg_33eef87a7e4bd7c159bdb35f0378709b1c0324477b62d344e3b3ceec9e7f19a3.png,9,tg_33eef87a7e4bd7c159bdb35f0378709b1c0324477b62d344e3b3ceec9e7f19a3.png,True,True,bed480dd508146bdeb65d9d58bfaa03fa35f7814e700a4b3bf6b8b99830822de,"Socialism is like one of those horrible viruses. You no sooner discover a remedy for one version, than it spontaneously evolves into another.",run_0000
False,t63.jpg,t63.jpg,10,t63.jpg,True,True,921c766344671fdd29089f9f1801cb9343aa5f8a825f8342ebd8ba35b47705d5,"The philosophical reason for which we are against nationalization and for private enterprise is because we believe that economic progress comes from the inventiveness, ability, determination and the pioneering spirit of extraordinary men and women.",run_0000
