case_id,consequence_alignment_score_shift,decision_change,directness_score_shift,editorial_power_score_shift,mechanism_alignment_score_shift,missing,model_changed,new_decision,new_relationship,old_decision,old_relationship,overall_suitability_score_shift,principle_alignment_score_shift,provider,relevance_score_shift,specificity_score_shift,taxonomy_changed
0117c8919c5fdb98d8ff,25,replace_to_replace,7,28,15,False,False,replace,related_ideological_substitution,replace,unrelated,12,30,grok,20,13,True
15d14fb68d063c94ab76,-10,replace_to_replace,-8,-25,-5,False,False,replace,unrelated,replace,related_ideological_substitution,-8,-20,grok,-13,-7,True
34804ca152e0e279c7ff,3,keep_to_keep,0,-5,0,False,False,keep,illustrates_claimed_consequence,keep,illustrates_claimed_consequence,0,0,grok,0,0,False
45aff3c1240a3010165b,0,replace_to_replace,2,3,0,False,False,replace,unrelated,replace,unrelated,0,3,grok,2,10,False
55f5cd6d633c143f5170,3,replace_to_replace,0,-5,-3,False,False,replace,illustrates_claimed_consequence,replace,related_ideological_substitution,0,7,grok,0,-7,True
588a0074decf861a546b,8,replace_to_replace,3,13,2,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,4,27,grok,13,-5,False
5adcb6f1fbaad21d5ae0,15,unsure_to_unsure,0,-10,-13,False,False,unsure,illustrates_broader_principle,unsure,illustrates_broader_principle,-2,-4,grok,0,0,False
68c044ce4d015237c2fe,-3,replace_to_replace,4,2,16,False,False,replace,secondary_theme_match,replace,secondary_theme_match,0,0,grok,0,-4,False
6eb60852343c65542ab6,-16,replace_to_replace,-6,-5,-4,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-2,-7,grok,-4,6,False
70f14e2e72a292a3ae05,0,keep_to_keep,-10,0,0,False,False,keep,illustrates_mechanism,keep,illustrates_mechanism,-1,0,grok,0,-22,False
9729da4b58d3d56e5c05,-5,replace_to_replace,0,-10,0,False,False,replace,unrelated,replace,unrelated,1,0,grok,0,0,False
a53c2ebadd2dde95cd5f,-6,replace_to_replace,-4,-3,0,False,False,replace,unrelated,replace,secondary_theme_match,-6,-14,grok,-6,-4,True
ad5a52dcf9f0f123e8ee,-4,replace_to_replace,0,-3,3,False,False,replace,unrelated,replace,unrelated,-4,-3,grok,-4,0,False
