quote_id,category,choice,winner,quality_a,quality_b,reasons,note
6ecc88f6e06f86515044a409421f059b2cf756001b9a6929a0183808a9b2e19e,domestic_economic_policy,A,high,high,medium,better representation of meaning; better composition,
9de4ca7d21925f4bb57ef9418d7b91b7ec5d791be1a7b90aeb0477486cf9a101,socialism_and_free_enterprise,B,high,medium,high,better representation of meaning; better composition; better likeness,
e28d24c49780a4d8a0c248097ee4962f941fdf1b2ec687a1bf52cddabc95995b,liberty_and_responsibility,neither,neither,medium,high,,Likeness is terrible. There is a flag of the united states and also the statue of liberty appears. Thatcher was the prime minister of the uk.
f629116f926f3fb041cd75c05b006f924a89f09160a5982932732fb06fe624f0,patriotism_and_national_identity,neither,neither,medium,high,,There’s no point in picturing keith joseph. The orwell likeness is acceptable though.
115f2b69f05bd8ad48114ece66c3c31d0149f85335b9a9c884a4d790d3268fa0,foreign_affairs,A,medium,medium,high,better composition; better likeness,
1a73e33d64ecdbdcce0ced1691e91457efd50720116168b28a2371d6b8a8eec6,leadership,A,high,high,medium,better composition; better likeness,
08c1ba31940172fa194727ff2bf5878ada3b3dd926625ba11e71786e275f993b,humour_or_rhetorical_attack,B,medium,high,medium,better composition,
9414fb7b6cb833fe280e9b09f41ea5279ada22a3fcab325a40d5225b89b47840,abstract_political_principle,neither,neither,medium,high,,"For a start, although the speech was given in new york, any buildings and symbolism ought to be uk only."
38805634a94b830357ca31de921357af37ce17c69a295c26dfc4c091979549ad,historically_specific,A,medium,medium,high,stronger immediate impact; better representation of meaning; better composition,
b4032d4fe1a7888a28691fb97a1a303361a2d320cac2d55841bfc88d325abd1b,difficult_visualisation,B,high,medium,high,better representation of meaning,
