case_id,human,grok,openai,anthropic,gemini,majority,pattern,providers_matching_human
ba18bbea3acd4594ecf9,neither,neither,B,B,B,B,3-1,1
a449d3bd87a040ed34b1,A,neither,neither,A,neither,neither,3-1,1
38dab10d66214a8f33ef,B,neither,A,A,A,A,3-1,0
dbbca3ff711dd4d9eba3,B,B,B,B,B,B,unanimous,4
649b2360f0d35e006a3f,B,B,B,B,A,B,3-1,3
5ed5302a6e333567d058,A,B,B,B,B,B,unanimous,0
4e7cbd5baa5aafa9418f,A,A,A,A,A,A,unanimous,4
3fb10ed9b7e50c851995,neither,B,B,A,neither,B,2-1-1,1
de48e09553c333d2edb5,A,neither,B,B,neither,unsure,2-2,0
03ef27b13bd503905246,A,neither,neither,neither,A,neither,3-1,1
871cef5a200df1b4c849,B,neither,neither,A,A,unsure,2-2,0
42f7c7f901e65773d1d9,B,neither,neither,A,neither,neither,3-1,0
18d9c05171a3b7771300,neither,neither,neither,B,A,neither,2-1-1,2
c4b43d7652a5a705a041,neither,A,A,A,A,A,unanimous,0
483d70018034a5288942,neither,neither,neither,A,neither,neither,3-1,3
044824e1b0a5d2fbdb1f,neither,B,B,B,B,B,unanimous,0
b0605e236e6885411c16,A,A,A,A,A,A,unanimous,4
ad499c5e87c4b1061c82,A,neither,A,A,A,A,3-1,3
84c4fab4ab81767961f5,A,A,A,A,A,A,unanimous,4
f0858d5ba37a30559e98,A,B,B,B,B,B,unanimous,0
f7919a292b295182ddf6,A,neither,A,B,A,A,2-1-1,2
51e6eaa31172e2c1f669,A,A,A,A,A,A,unanimous,4
5fc09adb9e8c26fe6a4a,A,neither,B,B,B,B,3-1,0
8bf11163cff70da7f79f,B,neither,B,B,B,B,3-1,3
59c27f78aa7a327c3791,B,B,B,B,B,B,unanimous,4
