case_id,desirable_votes,choice_consensus_strength,anthropic_choice,anthropic_intervention,anthropic_evidence_desirability,anthropic_confidence,gemini_choice,gemini_intervention,gemini_evidence_desirability,gemini_confidence,grok_choice,grok_intervention,grok_evidence_desirability,grok_confidence,openai_choice,openai_intervention,openai_evidence_desirability,openai_confidence
shadow-review-001-2071845062179184658,3,3,roughly_equal,researched_principle,unclear,medium,roughly_equal,researched_principle,desirable,high,roughly_equal,researched_principle,desirable,medium,neither_useful,historical_correction,desirable,high
shadow-review-002-2071964217347883162,0,3,no_historical_evidence,humour_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,insufficient_context,no_reply_preferable,unclear,high
shadow-review-003-2077394632489705521,0,3,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,A_better,humour_preferable,not_desirable,high
shadow-review-004-2073226751308648763,0,3,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,high
shadow-review-005-2077374435078689197,4,3,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,high,roughly_equal,researched_principle,desirable,high,B_better,researched_principle,desirable,medium
shadow-review-006-2075522429074510038,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-007-2075134932746227734,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-008-2075634498604065278,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-009-2072611852001951841,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-010-2076355743566159875,4,2,B_better,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,B_better,researched_principle,desirable,medium
